39.6966 	EXP 	ITI: autoDraw = False
39.6966 	EXP 	leftStim: text = ''
39.6966 	EXP 	rightStim: text = u'X'
39.6966 	EXP 	fixation: autoDraw = True
39.6966 	EXP 	leftStim: autoDraw = True
39.6966 	EXP 	rightStim: autoDraw = True
40.2161 	DATA 	Keypress: m
40.6967 	EXP 	fixation: autoDraw = False
40.6967 	EXP 	leftStim: autoDraw = False
40.6967 	EXP 	rightStim: autoDraw = False
40.7137 	EXP 	ITI: autoDraw = True
41.6818 	EXP 	New trial (rep=2, index=3): OrderedDict([(u'condition', u'congruent'), (u'stim', u'O')])
41.6966 	EXP 	ITI: autoDraw = False
41.6966 	EXP 	fixation: autoDraw = False
41.6966 	EXP 	leftStim: autoDraw = False
41.6966 	EXP 	rightStim: autoDraw = False
41.6966 	EXP 	ITI: autoDraw = False
41.6966 	EXP 	leftStim: text = ''
41.6966 	EXP 	rightStim: text = u'X'
41.6966 	EXP 	fixation: autoDraw = True
41.6966 	EXP 	leftStim: autoDraw = True
41.6966 	EXP 	rightStim: autoDraw = True
42.1493 	DATA 	Keypress: m
42.6967 	EXP 	fixation: autoDraw = False
42.6967 	EXP 	leftStim: autoDraw = False
42.6967 	EXP 	rightStim: autoDraw = False
42.7144 	EXP 	ITI: autoDraw = True
43.9779 	EXP 	window1: mouseVisible = True
